re_text,prevalence,se_prevalence,adjustment_type,RSE,outcome
Other Race-White,0.19422674194981607,0.048412461,Standardized,24.92574450827308,mmhd_poor
Puerto Rican,0.087521464,0.031192077,Standardized,35.63934583671668,mmhd_poor
Samoan,0.054225936,0.028530889659824248,Standardized,52.61484029481716,mmhd_poor
Unspecified Asian,0.10781547556040838,0.014892537081711909,Standardized,13.812986497812837,mmhd_poor
Unspecified NHPI,0.087445496,0.039761739,Standardized,45.47031117069419,mmhd_poor
Vietnamese,0.052328936,0.013287597,Standardized,25.392447006183527,mmhd_poor
White,0.12364429287741081,0.002511083,Standardized,2.030892521629252,mmhd_poor
AIAN,0.084727711,0.013527109431966963,Standardized,15.965389969265932,vip
AIAN-Black,0.2057656675473952,0.057664407537354904,Standardized,28.02430950929787,vip
AIAN-Black-White,0.064744273,0.02410982,Standardized,37.238536233539776,vip
AIAN-Multiple,0.072665923,0.023441142186117255,Standardized,32.25878287,vip
AIAN-White,0.047569409,0.009532583,Standardized,20.039312345819113,vip
Asian Indian,0.014829396440083407,0.006211862,Standardized,41.88883801775935,vip
Asian-Black,0.015981258118383298,0.008594111,Standardized,53.776182448212694,vip
Asian-Multiple,0.002552997,0.0025639,Standardized,100.42708983850652,vip
Asian-NHPI,0.065296266,0.036463206,Standardized,55.84271325821395,vip
Asian-White,0.028529673797030062,0.019293865529390483,Standardized,67.62736113512442,vip
Black,0.066756768,0.005651523,Standardized,8.465842892141744,vip
Black-Multiple,0.044135018,0.028459772,Standardized,64.48342782,vip
Black-White,0.044595074,0.017486700106700795,Standardized,39.21217852681138,vip
Chinese,0.020356009566966423,0.005940328,Standardized,29.18218556429027,vip
DK/R,0.041173347347743035,0.007303079,Standardized,17.737394160684538,vip
Filipino,0.039318372,0.008299991,Standardized,21.10970094189121,vip
Hispanic-AIAN,0.080696159,0.010531791617918692,Standardized,13.051168432408765,vip
Hispanic-AIAN-White,0.10060130487206093,0.037442011865537916,Standardized,37.21821691394019,vip
Hispanic-Asian,0.071142934,0.03275128,Standardized,46.03588651,vip
Hispanic-Black,0.072842656,0.013069616350346591,Standardized,17.942256750756314,vip
Hispanic-Black-White,0.090119837,0.038628549,Standardized,42.86353688260716,vip
Hispanic-NHPI,0.080225234,0.033174848,Standardized,41.3521364,vip
Hispanic-White,0.069116346,0.002758773,Standardized,3.9914913409094823,vip
Japanese,0.040482894,0.012849425,Standardized,31.740382408522507,vip
Korean,0.037773459,0.020343361526183906,Standardized,53.85623105859637,vip
Mexican,0.088539777,0.006066054,Standardized,6.851219116800743,vip
Multiple Hispanic,0.05391666,0.017179411934557604,Standardized,31.862900663930404,vip
NHPI-Multiple,0.067105317,0.031098743,Standardized,46.343187729530946,vip
NHPI-White,0.064884941,0.037404936,Standardized,57.64809967007585,vip
Other Asian,0.023844333504489605,0.006621659,Standardized,27.7703694,vip
Other Hispanic,0.083923197,0.011573618438382295,Standardized,13.79072636299038,vip
Other Pacific Islander,0.059187284,0.027362490623206625,Standardized,46.23035327379721,vip
Other Race,0.034576086,0.006192124,Standardized,17.908689002816594,vip
Other Race-White,0.10768742333785214,0.034515782,Standardized,32.051822473560534,vip
Puerto Rican,0.044300781,0.02042297,Standardized,46.100699515665774,vip
Samoan,0.020149024,0.015842711991345567,Standardized,78.62768977,vip
Unspecified Asian,0.033251502,0.010473307501652544,Standardized,31.49724643772036,vip
Unspecified NHPI,0.016635204533776336,0.011270004851396896,Standardized,67.74791874974623,vip
Vietnamese,0.061615437,0.030967274,Standardized,50.25895276,vip
White,0.032805104,0.001243518,Standardized,3.790624817249223,vip
AIAN,0.19862057786530737,0.020277265840602788,Standardized,10.20904583932568,dis_walk
AIAN-Black,0.3378898706213984,0.051260646,Standardized,15.170814597343943,dis_walk
AIAN-Black-White,0.2268636402668105,0.042245430073874345,Standardized,18.62150762642714,dis_walk
AIAN-Multiple,0.21274819939701162,0.043128325884112736,Standardized,20.272005124532463,dis_walk
AIAN-White,0.23347814252637591,0.025970992597409464,Standardized,11.12352202068574,dis_walk
Asian Indian,0.045544477,0.011191169091044235,Standardized,24.57195664281668,dis_walk
Asian-Black,0.15464516139091877,0.068918888,Standardized,44.56582239506727,dis_walk
Asian-Multiple,0.13223199868047208,0.054244305,Standardized,41.022071469765194,dis_walk
Asian-NHPI,0.031576086,0.017420356,Standardized,55.16946138882592,dis_walk
Asian-White,0.081525708,0.026691268242442945,Standardized,32.7396952,dis_walk
Black,0.18176019735962426,0.007602868,Standardized,4.182911543302332,dis_walk
Black-Multiple,0.2502085719270524,0.048512061837368975,Standardized,19.388649023388584,dis_walk
Black-White,0.11601378557644226,0.027992693,Standardized,24.128764250363425,dis_walk
Chinese,0.041383296,0.0078191,Standardized,18.894338903441337,dis_walk
DK/R,0.11140420103870224,0.011400991005476846,Standardized,10.233896836184927,dis_walk
Filipino,0.10276255693651026,0.011794889315884047,Standardized,11.47780832581976,dis_walk
Hispanic-AIAN,0.18065082594842044,0.013607877531086797,Standardized,7.532695994964412,dis_walk
Hispanic-AIAN-White,0.2129532278633806,0.050911985947543086,Standardized,23.907590628401035,dis_walk
Hispanic-Asian,0.1667910345346483,0.03913528,Standardized,23.46365934336668,dis_walk
Hispanic-Black,0.16486343537363066,0.019666064185062258,Standardized,11.928699738964543,dis_walk
Hispanic-Black-White,0.26699274244586185,0.073824563,Standardized,27.65040061270927,dis_walk
Hispanic-NHPI,0.12215685336757356,0.039067874,Standardized,31.981729191674912,dis_walk
Hispanic-White,0.1516237814215636,0.003985632,Standardized,2.628632350852899,dis_walk
Japanese,0.045345469689480104,0.010895193201233111,Standardized,24.027082034527332,dis_walk
Korean,0.07562109,0.025830724,Standardized,34.158094748476344,dis_walk
Mexican,0.1614401357734162,0.007127648,Standardized,4.4150410184043105,dis_walk
Multiple Hispanic,0.11327128258864125,0.027132049415703987,Standardized,23.953158113550632,dis_walk
NHPI-Multiple,0.073630689,0.029093287366539853,Standardized,39.51244744583723,dis_walk
NHPI-White,0.11665904278548234,0.053500681,Standardized,45.860723300306006,dis_walk
Other Asian,0.087434131,0.014662386,Standardized,16.76963616238642,dis_walk
Other Hispanic,0.15474883194642292,0.013932041969413752,Standardized,9.003002991478022,dis_walk
Other Pacific Islander,0.14661394560845853,0.041094223685271526,Standardized,28.02886418118516,dis_walk
Other Race,0.1548637998162874,0.016570871309833105,Standardized,10.700287174595276,dis_walk
Other Race-White,0.14871396876493317,0.035904879013802404,Standardized,24.14358201,dis_walk
Puerto Rican,0.1394098356517679,0.041450564,Standardized,29.73288349865176,dis_walk
Samoan,0.078968977,0.035839155,Standardized,45.383840464266605,dis_walk
Unspecified Asian,0.073746623,0.012327774,Standardized,16.716390990680786,dis_walk
Unspecified NHPI,0.083834769,0.027800026630789697,Standardized,33.16049771887358,dis_walk
Vietnamese,0.077624336,0.022546554191511588,Standardized,29.045728854772392,dis_walk
White,0.10884789899931124,0.002062328,Standardized,1.8946881103492315,dis_walk
AIAN,0.18833613510251215,0.020216669,Standardized,10.73435463119444,dis_conc
AIAN-Black,0.27247730172726914,0.060504075930251214,Standardized,22.205180228484352,dis_conc
AIAN-Black-White,0.19241546597152717,0.047416984,Standardized,24.643021257024074,dis_conc
AIAN-Multiple,0.21288268068991215,0.039799189,Standardized,18.69536257618045,dis_conc
AIAN-White,0.23569465010499197,0.025120156444340413,Standardized,10.657923899906278,dis_conc
Asian Indian,0.042827225987046316,0.008381772,Standardized,19.571128868692917,dis_conc
Asian-Black,0.2012834240590314,0.056030225845337615,Standardized,27.83648286,dis_conc
Asian-Multiple,0.1389801436555923,0.055281309605548716,Standardized,39.77640845050623,dis_conc
